plot,AnalyseAs,BA,FPSR,Stems,Elevation,Slope,Pdist,RainfallTotal,PET,Temp,Acidp,Calcium,Psize,MAS,Control,Y,Species
AA139,forest,0.8998900297350548,0.16858748466467463,-0.4319685468437749,-1.4656772887214027,0.4730859268693391,-0.5754393987585718,0.933922265338147,0.3889603567220328,-1.2134647647154242,1.0138539835760438,1.1215116057096914,0.3143684728793968,0.026122500182570094,0,56.5,Weinmannia racemosa
AB138,forest,-0.3291168307171932,0.4150066700859536,0.22675526123393566,-1.612425315976621,1.1500823711812884,-0.5302298274901592,0.6925272227550133,0.4315942007299868,-1.3200710756604226,1.0138539835760438,-0.5696254025485076,0.3143684728793968,-0.6589942513305947,0,34,Weinmannia racemosa
AB143,forest,3.1424782723497917,-0.5706700715991623,-1.071318125272141,-0.26285731772849114,-0.10719673968376038,-0.5560248255327671,0.5402442347044434,-0.15834089690476547,0.030275529642888016,-0.9106741533891013,-0.5696254025485076,0.3143684728793968,0.026122500182570094,0,18.5,Weinmannia racemosa
AC136,forest,-0.20878502589843637,0.4150066700859536,0.033012964740491375,-1.596964737902551,-0.39733807296031015,-0.3344068771597654,0.2875606398254185,0.32947110317903255,-1.9952443783120777,1.0138539835760438,-0.5696254025485076,0.3143684728793968,0.6133654300509971,0,46.5,Weinmannia racemosa
AC137,forest,0.4796300747032537,1.1542642263497904,-0.5288396950904971,-1.495892866399942,0.18294459359278936,-0.534045455980727,0.804444658399276,0.32153871858184785,1.2384803870195342,-0.9106741533891013,-0.5696254025485076,0.9611985681564293,0.4176177867615214,1,1,Raukaua simplex
AC137,forest,0.4796300747032537,1.1542642263497904,-0.5288396950904971,-1.495892866399942,0.18294459359278936,-0.534045455980727,0.804444658399276,0.32153871858184785,1.2384803870195342,-0.9106741533891013,-0.5696254025485076,0.9611985681564293,0.4176177867615214,1,34,Weinmannia racemosa
AC141,forest,0.4228442791708067,-0.8170892570204413,-1.158502158694191,0.29089237706255583,-0.010482961924910472,-0.1557640564043652,2.3699199334574534,-0.704650905034906,0.10134640360622015,-0.9106741533891013,-0.5696254025485076,0.9611985681564293,0.22187014347204576,0,1,Raukaua simplex
AD136,forest,-0.763122553715182,1.4006834117710696,2.1157426520450175,-1.078467222526367,0.9566548156635887,-0.007406590500795772,0.836885257353468,0.006245795835142813,0.3500944624778826,-0.9106741533891013,1.1215116057096914,0.3143684728793968,0.7112392516957349,1,4,Melicytus ramiflorus
AD136,forest,-0.763122553715182,1.4006834117710696,2.1157426520450175,-1.078467222526367,0.9566548156635887,-0.007406590500795772,0.836885257353468,0.006245795835142813,0.3500944624778826,-0.9106741533891013,1.1215116057096914,0.3143684728793968,0.7112392516957349,1,1,Metrosideros umbellata
AD136,forest,-0.763122553715182,1.4006834117710696,2.1157426520450175,-1.078467222526367,0.9566548156635887,-0.007406590500795772,0.836885257353468,0.006245795835142813,0.3500944624778826,-0.9106741533891013,1.1215116057096914,0.3143684728793968,0.7112392516957349,1,31,Weinmannia racemosa
AD141,forest,-0.07177802715348465,-1.3099276278629992,-0.30603605412303614,0.9229023303322372,0.9566548156635887,-0.5874989920222612,0.7752536592219014,-1.2400538843439177,-0.5027560250821029,-0.9106741533891013,-0.5696254025485076,0.3143684728793968,0.3197439651167836,0,6,Raukaua simplex
AD142,forest,-0.5132199852807222,-0.32425088617788334,-0.6257108433372192,0.608138857878073,-0.59076562847801,-0.5571136400594113,-0.001155429371490671,-0.4389317550847203,0.030275529642888016,-0.9106741533891013,-0.5696254025485076,0.9611985681564293,-1.637732467777973,0,69,Weinmannia racemosa
AD142,forest,-0.5132199852807222,-0.32425088617788334,-0.6257108433372192,0.608138857878073,-0.59076562847801,-0.5571136400594113,-0.001155429371490671,-0.4389317550847203,0.030275529642888016,-0.9106741533891013,-0.5696254025485076,0.9611985681564293,-1.637732467777973,0,1,Raukaua simplex
AD175,forest,2.1521069574088987,-0.5706700715991623,-0.5869623840385303,-0.5798994086858965,2.697502815322887,-0.5570970128810556,-0.8109175270337425,-1.2103092575724175,-1.2490002016970905,-0.9106741533891013,-0.5696254025485076,0.9611985681564293,-1.637732467777973,0,21.5,Metrosideros umbellata
AD175,forest,2.1521069574088987,-0.5706700715991623,-0.5869623840385303,-0.5798994086858965,2.697502815322887,-0.5570970128810556,-0.8109175270337425,-1.2103092575724175,-1.2490002016970905,-0.9106741533891013,-0.5696254025485076,0.9611985681564293,-1.637732467777973,0,34,Weinmannia racemosa
AD175,forest,2.1521069574088987,-0.5706700715991623,-0.5869623840385303,-0.5798994086858965,2.697502815322887,-0.5570970128810556,-0.8109175270337425,-1.2103092575724175,-1.2490002016970905,-0.9106741533891013,-0.5696254025485076,0.9611985681564293,-1.637732467777973,0,1,Raukaua simplex
AE136,forest,-0.9341559616879095,1.1542642263497904,0.04270007956516359,-0.9183016887043968,-1.1710482950311094,-0.18063098002699754,1.399493898024682,-0.07307320888885749,-0.3606142771554387,0.05158991509347133,1.1215116057096914,-1.6261218129517008,0.6133654300509971,1,4,Melicytus ramiflorus
AE136,forest,-0.9341559616879095,1.1542642263497904,0.04270007956516359,-0.9183016887043968,-1.1710482950311094,-0.18063098002699754,1.399493898024682,-0.07307320888885749,-0.3606142771554387,0.05158991509347133,1.1215116057096914,-1.6261218129517008,0.6133654300509971,1,4,Metrosideros umbellata
